quiz_name,quiz,quiz_input,quiz_output,sample_input,sample_output
ITP1_1_A,"
Welcome to Online Judge!

Write a program which prints ""Hello World"" to standard output.
","
There is no input for this problem.
","
  Print ""Hello World"" in a line.

  Do not forget to add a new line at the end. Please note that missing required white spaces or line breaks, or printing extra white spaces or line breaks, will result in a 'Presentation Error' and an incorrect answer.
","
No input
","
Hello World
"
ITP1_1_B,"
Write a program which calculates the cube of a given integer x.
","
An integer x is given in a line.
","
Print the cube of x in a line.
","
3
","
27
"
ITP1_1_C,"
Write a program which calculates the area and perimeter of a given rectangle.
","
  The length a and breadth b of the rectangle are given in a line separated by a single space.
","
Print the area and perimeter of the rectangle in a line. The two integers should be separated by a single space.
","
3 5
","
15 16
"
ITP1_1_D,"
Write a program which reads an integer $S$ [second] and converts it to $h:m:s$ where $h$, $m$, $s$ denote hours, minutes (less than 60) and seconds (less than 60) respectively.
","
An integer $S$ is given in a line.
","
Print $h$, $m$ and $s$ separated by ':'. You do not need to put '0' for a value, which consists of a digit.
","
46979
","
13:2:59
"
ITP1_2_A,"
Write a program which prints small/large/equal relation of given two integers a and b.
","
  Two integers a and b separated by a single space are given in a line.
","
For given two integers a and b, print
a < b

  if a is less than b,
a > b

  if a is greater than b, and
a == b

  if a equals to b.
","
1 2
","
a < b
"
ITP1_2_B,"
  Write a program which reads three integers a, b and c, and prints ""Yes"" if a < b < c, otherwise ""No"".
","
  Three integers a, b and c separated by a single space are given in a line.
","
  Print ""Yes"" or ""No"" in a line.
","
1 3 8
","
Yes
"
ITP1_2_C,"
  Write a program which reads three integers, and prints them in ascending order.
","
  Three integers separated by a single space are given in a line.
","
  Print the given integers in ascending order in a line. Put a single space between two integers.
","
3 8 1
","
1 3 8
"
ITP1_2_D,"
  Write a program which reads a rectangle and a circle, and determines whether the circle is arranged inside the rectangle. As shown in the following figures, the upper right coordinate $(W, H)$ of the rectangle and the central coordinate $(x, y)$ and radius $r$ of the circle are given.




","
  Five integers $W$, $H$, $x$, $y$ and $r$ separated by a single space are given in a line.
","
  Print ""Yes"" if the circle is placed inside the rectangle, otherwise ""No"" in a line.
","
5 4 2 2 1
","
Yes
"
ITP1_3_A,"
Write a program which prints 1000 ""Hello World"".
","
 There is no input for this problem.
","
The output consists of 1000 lines. Print ""Hello World"" in each line.
","
No input
","
Hello World
Hello World
Hello World
Hello World
Hello World
Hello World
Hello World
.
.
.
.
.
.
Hello World
"
ITP1_3_B,"
In the online judge system, a judge file may include multiple datasets to check whether the submitted program outputs a correct answer for each test case. This task is to practice solving a problem with multiple datasets.

Write a program which reads an integer x and print it as is. Note that multiple datasets are given for this problem.
","
The input consists of multiple datasets. Each dataset consists of an integer x in a line.

The input ends with an integer 0. You program should not process (print) for this terminal symbol.
","
For each dataset, print x in the following format:
Case i: x

where i is the case number which starts with 1. Put a single space between ""Case"" and i. Also, put a single space between ':' and x.","
3
5
11
7
8
19
0
","
Case 1: 3
Case 2: 5
Case 3: 11
Case 4: 7
Case 5: 8
Case 6: 19
"
ITP1_3_C,"
  Write a program which reads two integers x and y, and prints them in ascending order. 
","
The input consists of multiple datasets. Each dataset consists of two integers x and y separated by a single space.

The input ends with two 0 (when both x and y are zero). Your program should not process for these terminal symbols.
  ","
For each dataset, print x and y in ascending order in a line. Put a single space between x and y.
","
3 2
2 2
5 3
0 0
","
2 3
2 2
3 5
"
ITP1_3_D,"
  Write a program which reads three integers a, b and c, and prints the number of divisors of c between a and b.
","
  Three integers a, b and c are given in a line separated by a single space.
","
Print the number of divisors in a line.
","
5 14 80
","
3
"
ITP1_4_A,"
Write a program which reads two integers a and b, and calculates the following values:

a ÷ b:  d (in integer)
remainder of a ÷ b:  r (in integer)
a ÷ b:  f (in real number)
a ÷ b:  d (in integer)abdremainder of a ÷ b:  r (in integer)abra ÷ b:  f (in real number)abf","
Two integers a and b are given in a line.
","
Print d, r and f separated by a space in a line. For f, the output should not contain an absolute error greater than 10-5.
","
3 2
","
1 1 1.50000
"
ITP1_4_B,"
Write a program which calculates the area and circumference of a circle for given radius r.
","
A real number r is given.
","
Print the area and circumference of the circle in a line. Put a single space between them. The output should not contain an absolute error greater than 10-5.
","
2
","
12.566371 12.566371
"
ITP1_4_C,"
Write a program which reads two integers a, b and an operator op, and then prints the value of a op b.
abopaopb
The operator op is '+', '-', '*' or '/' (sum, difference, product or quotient). The division should truncate any fractional part.
","
The input consists of multiple datasets. Each dataset is given in the following format.

a op b
aopb
The input ends with a dataset where op = '?'. Your program should not process for this dataset.
","
For each dataset, print the value in a line.
","
1 + 2
56 - 18
13 * 2
100 / 10
27 + 81
0 ? 0
","
3
38
26
10
108
"
ITP1_4_D,"
Write a program which reads a sequence of $n$ integers $a_i (i = 1, 2, ... n)$, and prints the minimum value, maximum value and sum of the sequence.
","
  In the first line, an integer $n$ is given. In the next line, $n$ integers $a_i$ are given in a line.
","
  Print the minimum value, maximum value and sum in a line. Put a single space between the values.
","
5
10 1 5 4 17
","
1 17 37
"
ITP1_5_A,"
  Draw a rectangle which has a height of H cm and a width of W cm. Draw a 1-cm square by single '#'.
","
The input consists of multiple datasets. Each dataset consists of two integers H and W separated by a single space.
HW
  The input ends with two 0 (when both H and W are zero). 
","
For each dataset, print the rectangle made of H × W '#'.
HW
  Print a blank line after each dataset.
","
3 4
5 6
2 2
0 0
","
####
####
####

######
######
######
######
######

##
##

"
ITP1_5_B,"
  Draw a frame which has a height of H cm and a width of W cm. For example, the following figure shows a frame which has a height of 6 cm and a width of 10 cm.

##########
#........#
#........#
#........#
#........#
##########
","
The input consists of multiple datasets. Each dataset consists of two integers H and W separated by a single space.
HW
  The input ends with two 0 (when both H and W are zero). 
","
For each dataset, print the frame made of '#' and '.'.

  Print a blank line after each dataset.
","
3 4
5 6
3 3
0 0
","
####
#..#
####

######
#....#
#....#
#....#
######

###
#.#
###

"
ITP1_5_C,"
  Draw a chessboard which has a height of H cm and a width of W cm. For example, the following figure shows a chessboard which has a height of 6 cm and a width of 10 cm.

#.#.#.#.#.
.#.#.#.#.#
#.#.#.#.#.
.#.#.#.#.#
#.#.#.#.#.
.#.#.#.#.#

Note that the top left corner should be drawn by '#'.
","
The input consists of multiple datasets. Each dataset consists of two integers H and W separated by a single space.
HW
  The input ends with two 0 (when both H and W are zero). 
","
For each dataset, print the chessboard made of '#' and '.'.

  Print a blank line after each dataset.
","
3 4
5 6
3 3
2 2
1 1
0 0
","
#.#.
.#.#
#.#.

#.#.#.
.#.#.#
#.#.#.
.#.#.#
#.#.#.

#.#
.#.
#.#

#.
.#

#

"
